customer_age,tenure_months,monthly_charges,contract_type,support_calls,payment_method,churn
61,24,36.97,Month-to-Month,3.0,Credit Card,1
25,32,84.68,One-Year,3.0,Electronic Check,0
41,47,58.83,Month-to-Month,2.0,Bank Transfer,0
28,23,42.94,Month-to-Month,6.0,Bank Transfer,0
68,66,46.59,Month-to-Month,3.0,Electronic Check,1
34,27,56.03,Month-to-Month,4.0,Bank Transfer,0
25,2,45.99,Month-to-Month,1.0,Bank Transfer,1
52,17,65.32,Month-to-Month,0.0,Electronic Check,0
52,33,23.23,Month-to-Month,1.0,Bank Transfer,1
50,9,47.98,Month-to-Month,1.0,Electronic Check,0
22,43,61.12,One-Year,4.0,Electronic Check,0
59,48,80.28,One-Year,1.0,Credit Card,0
56,39,47.1,Month-to-Month,2.0,Credit Card,0
58,42,33.32,Two-Year,1.0,Bank Transfer,0
45,26,27.62,Month-to-Month,1.0,Bank Transfer,0
24,50,114.05,One-Year,2.0,Electronic Check,0
26,25,61.66,One-Year,2.0,Bank Transfer,0
25,24,78.12,Two-Year,4.0,Electronic Check,0
29,13,111.92,One-Year,5.0,Electronic Check,1
51,60,28.27,One-Year,0.0,Bank Transfer,0
50,7,107.67,One-Year,1.0,Electronic Check,0
65,57,75.16,Month-to-Month,1.0,Credit Card,0
40,36,36.48,Month-to-Month,3.0,Bank Transfer,0
41,45,61.13,One-Year,2.0,Credit Card,0
54,20,97.76,Month-to-Month,2.0,Bank Transfer,1
52,65,68.04,One-Year,3.0,Electronic Check,0
61,8,118.53,Month-to-Month,0.0,Bank Transfer,1
57,16,57.67,Month-to-Month,2.0,Credit Card,1
39,14,94.96,Month-to-Month,4.0,Electronic Check,1
44,15,59.3,Month-to-Month,5.0,Bank Transfer,1
52,66,102.92,One-Year,4.0,Bank Transfer,1
18,32,76.91,Month-to-Month,0.0,Bank Transfer,0
52,63,26.35,Month-to-Month,1.0,Credit Card,0
54,51,23.68,Month-to-Month,3.0,Credit Card,0
64,25,33.39,Month-to-Month,2.0,Bank Transfer,0
31,58,21.37,One-Year,3.0,Electronic Check,0
20,63,27.54,Month-to-Month,1.0,Electronic Check,0
18,62,89.17,One-Year,2.0,Credit Card,0
22,22,73.43,One-Year,1.0,Electronic Check,0
43,58,94.99,One-Year,1.0,Credit Card,0
31,58,111.32,One-Year,1.0,Bank Transfer,0
56,49,78.51,Two-Year,3.0,Credit Card,0
44,52,92.61,Two-Year,5.0,Credit Card,0
26,42,95.71,Month-to-Month,2.0,Bank Transfer,0
32,70,57.79,Month-to-Month,3.0,Electronic Check,0
32,15,44.11,Month-to-Month,3.0,Credit Card,1
43,54,40.5,Month-to-Month,3.0,Credit Card,0
59,60,45.14,One-Year,3.0,Bank Transfer,0
30,8,47.47,Two-Year,2.0,Electronic Check,1
68,53,40.72,Month-to-Month,0.0,Credit Card,1
49,60,107.82,Month-to-Month,1.0,Bank Transfer,0
56,5,95.7,Month-to-Month,3.0,Credit Card,1
66,68,24.69,One-Year,0.0,Bank Transfer,0
69,6,46.87,One-Year,2.0,Electronic Check,0
49,47,22.22,Month-to-Month,1.0,Electronic Check,0
21,55,69.82,Two-Year,3.0,Electronic Check,0
47,40,67.62,One-Year,2.0,Electronic Check,0
54,52,103.14,Month-to-Month,2.0,Credit Card,0
40,16,50.78,One-Year,1.0,Credit Card,0
56,13,101.64,One-Year,3.0,Electronic Check,1
62,30,116.8,Month-to-Month,2.0,Electronic Check,0
32,19,28.84,Month-to-Month,3.0,Electronic Check,1
60,17,99.18,Month-to-Month,3.0,Credit Card,1
46,63,79.0,Month-to-Month,1.0,Electronic Check,1
53,19,68.0,Two-Year,1.0,Electronic Check,1
30,58,62.05,Two-Year,2.0,Electronic Check,0
49,55,98.47,Month-to-Month,0.0,Bank Transfer,0
24,62,83.94,Month-to-Month,0.0,Electronic Check,0
68,23,100.5,Month-to-Month,3.0,Bank Transfer,0
39,9,110.32,Month-to-Month,1.0,Bank Transfer,0
45,12,81.73,Two-Year,3.0,Electronic Check,1
19,1,118.05,Month-to-Month,2.0,Bank Transfer,1
59,58,80.81,Month-to-Month,0.0,Electronic Check,1
62,1,83.66,Month-to-Month,0.0,Credit Card,0
23,34,75.48,One-Year,1.0,Credit Card,0
45,48,29.1,Month-to-Month,1.0,Credit Card,0
45,1,92.64,One-Year,2.0,Credit Card,1
61,16,74.74,Month-to-Month,2.0,Bank Transfer,1
61,61,65.09,One-Year,3.0,Electronic Check,0
37,64,111.05,One-Year,3.0,Electronic Check,0
47,63,49.8,Month-to-Month,0.0,Electronic Check,0
28,69,72.36,Month-to-Month,6.0,Credit Card,0
45,22,89.76,Two-Year,1.0,Credit Card,1
42,67,99.65,Two-Year,4.0,Electronic Check,0
56,26,65.93,Month-to-Month,0.0,Credit Card,0
50,16,104.21,Month-to-Month,1.0,Electronic Check,1
18,51,96.89,Two-Year,6.0,Electronic Check,0
44,57,26.62,One-Year,2.0,Electronic Check,0
69,29,24.59,Month-to-Month,2.0,Electronic Check,0
30,69,82.08,Two-Year,2.0,Electronic Check,1
58,47,54.74,Month-to-Month,3.0,Electronic Check,1
20,62,40.91,One-Year,0.0,Electronic Check,0
56,69,77.96,Month-to-Month,1.0,Credit Card,1
23,16,54.16,Month-to-Month,3.0,Electronic Check,0
25,48,73.73,Month-to-Month,4.0,Electronic Check,1
44,39,66.01,One-Year,1.0,Credit Card,0
26,33,78.48,Month-to-Month,1.0,Credit Card,0
54,23,60.03,Month-to-Month,3.0,Credit Card,1
50,10,89.77,Month-to-Month,4.0,Electronic Check,1
68,69,38.01,Month-to-Month,3.0,Bank Transfer,0
59,34,89.65,Two-Year,1.0,Bank Transfer,0
61,52,61.17,Month-to-Month,1.0,Credit Card,0
41,10,107.43,One-Year,4.0,Bank Transfer,1
32,19,71.52,Two-Year,0.0,Credit Card,0
49,58,117.31,Month-to-Month,4.0,Electronic Check,1
49,1,80.19,Month-to-Month,0.0,Bank Transfer,0
41,69,42.38,Month-to-Month,2.0,Electronic Check,0
58,4,102.18,Month-to-Month,2.0,Bank Transfer,1
69,16,54.51,Month-to-Month,2.0,Electronic Check,0
66,24,54.76,Month-to-Month,3.0,Bank Transfer,1
66,2,23.18,One-Year,0.0,Electronic Check,0
69,32,74.87,Month-to-Month,4.0,Electronic Check,0
29,24,73.44,Month-to-Month,1.0,Bank Transfer,0
56,12,55.6,One-Year,3.0,Electronic Check,0
19,50,109.42,Month-to-Month,3.0,Electronic Check,1
20,35,32.87,Two-Year,2.0,Electronic Check,0
66,33,53.01,One-Year,1.0,Bank Transfer,0
54,33,52.16,Month-to-Month,2.0,Bank Transfer,0
66,61,29.23,One-Year,1.0,Electronic Check,0
34,51,68.11,Month-to-Month,1.0,Electronic Check,0
66,43,88.78,Month-to-Month,1.0,Bank Transfer,0
19,12,71.17,Month-to-Month,2.0,Bank Transfer,0
19,67,35.7,Month-to-Month,1.0,Electronic Check,1
45,65,57.73,One-Year,3.0,Electronic Check,0
40,33,20.26,Month-to-Month,1.0,Electronic Check,0
54,40,106.83,Month-to-Month,3.0,Credit Card,1
49,43,28.45,Month-to-Month,3.0,Bank Transfer,0
50,44,79.73,One-Year,2.0,Credit Card,0
18,29,118.63,Month-to-Month,2.0,Bank Transfer,1
36,13,73.66,Two-Year,2.0,Bank Transfer,0
19,12,112.4,Month-to-Month,2.0,Bank Transfer,1
61,46,43.61,Two-Year,2.0,Bank Transfer,0
43,2,96.0,Two-Year,1.0,Bank Transfer,0
49,35,73.13,Two-Year,3.0,Bank Transfer,0
23,8,92.05,Two-Year,2.0,Bank Transfer,0
49,26,26.23,Month-to-Month,3.0,Credit Card,0
21,34,34.77,One-Year,3.0,Electronic Check,0
28,7,33.31,Month-to-Month,3.0,Electronic Check,0
34,68,88.72,Month-to-Month,0.0,Credit Card,0
55,58,104.44,Month-to-Month,1.0,Credit Card,1
41,29,94.96,One-Year,3.0,Credit Card,0
22,36,23.05,Month-to-Month,0.0,Credit Card,0
69,21,106.72,One-Year,3.0,Bank Transfer,0
